,id,name,link,regular_price,promo_price,brand
0,6327,"Ассорти колбас Велком Брауншвейгская, Велкомовская, Миланская сырокопченое, 150г",https://online.metro-cc.ru/products/velkom-assorti-braunshvejgskaya-velkomovskaya-milanskaya-150g,265,219,ВЕЛКОМ
1,133313,"Ветчина из окорока Велком нарезка, 100г",https://online.metro-cc.ru/products/vetchina-iz-okoroka-velkom-narezka-100g,127,109,ВЕЛКОМ
2,235381,"Колбаса сальчичон Велком сырокопченая нарезка, 150г",https://online.metro-cc.ru/products/kolbasa-salchichon-velkom-syrokopchenaya-narezka-150g,269.01,,ВЕЛКОМ
3,437897,"METRO Chef Колбаса Пепперони сырокопченая, 500г",https://online.metro-cc.ru/products/pepperoni-metro-chef-narezka-syrokopchenaya-500g,429,,METRO CHEF
4,484683,"Ветчина Черкизово Империя вкуса с индейкой, 800г",https://online.metro-cc.ru/products/imperiya-vkusa-s-indejkoj-800-g,439,299,ЧЕРКИЗОВО
5,656849,"Колбаса Черкизово Сальчичон сырокопченая, ~600г",https://online.metro-cc.ru/products/cherkizovo-salchichon-syrokopchenaya,1 329,959,ЧЕРКИЗОВО
6,510637,"Колбаса Велком Докторская вареная, 500г",https://online.metro-cc.ru/products/doktorskaya-velkom-500g-510637,389,309,ВЕЛКОМ
7,134376,"Колбаса Докторская Вязанка вареная ГОСТ, ~1.3кг",https://online.metro-cc.ru/products/13kg-kolbasa-doktorskaya-vyazanka-var-gost,719,,ВЯЗАНКА
8,219595,"Колбаса Вязанка молокуши вареная, 450г",https://online.metro-cc.ru/products/450g-kolbasa-vyazanka-molokusha-varenaya,289,269,ВЯЗАНКА
9,531712,"Ветчина Черкизово Тост Хэм, ~2.9кг",https://online.metro-cc.ru/products/tost-hem-cherkizovo-29kg,359,,ЧЕРКИЗОВО
10,24104,"Колбаса Черкизово Докторская по-черкизовски вареная, 500г",https://online.metro-cc.ru/products/cherkizovo-doktorskaya-po-cherkizski-500-g,279,,ЧЕРКИЗОВО
11,65536,"Колбаса Черкизово Салямини сырокопченая, 180г",https://online.metro-cc.ru/products/cherkizovo-salyamini-syrokopchenaya-180g,209,129,ЧЕРКИЗОВО
12,111575,"Колбаса Черкизово Салями Астория сырокопченая, 225г",https://online.metro-cc.ru/products/kolbasa-syrokopchenaya-cherkizovo-salyami-astoriya-225-g,286,179,ЧЕРКИЗОВО
13,210854,"Колбаса Черкизово сальчичон сырокопченая срез, 300г",https://online.metro-cc.ru/products/300g-kolbasa-salchichon-cherkizovo-sk-srez-vu,449,319,ЧЕРКИЗОВО
14,219587,"Колбаса Вязанка филейская классическая вареная, 450г",https://online.metro-cc.ru/products/450g-kolbasa-vyazanka-fileyskaya-klassicheskaya-varenaya,279,,ВЯЗАНКА
15,59646,"Колбаса Дымов Пепперони сырокопченая нарезка, 1кг",https://online.metro-cc.ru/products/dymov-pepperoni-syrokopchenaya-narezka-1kg,768.91,,ДЫМОВ
16,120704,"Колбаса Велком Салями Милано сырокопченая нарезка, 150г",https://online.metro-cc.ru/products/150g-velkom-salyami-milano-s-k,267,189,ВЕЛКОМ
17,385257,"Колбаса Охотный Ряд Светская вяленая варено-копченая, ~530г",https://online.metro-cc.ru/products/svetskaya-ohotnyj-ryad,979,739,ОХОТНЫЙ РЯД
18,101469,"Колбаса Черкизово Салями Астория сырокопченая нарезка, 85г",https://online.metro-cc.ru/products/kolbasa-salyami-astoriya-narezka-syrokopchenaya-cherkizovo-85g,114,89,ЧЕРКИЗОВО
19,209809,"Колбаса Мираторг сервелат варено-копченая ГОСТ, 375г",https://online.metro-cc.ru/products/375g-kolbasa-servelat-miratorg-gost-vk,399,259,МИРАТОРГ
20,209810,"Колбаса Мираторг брауншвейгская сырокопченая полусухая, 300г",https://online.metro-cc.ru/products/300g-kolbasa-braunshveygskaya-miratorg-sk-polusuhaya,539,319,МИРАТОРГ
21,379666,"METRO Chef Ветчина Венская вареная, ~1.07кг",https://online.metro-cc.ru/products/metro-chef-107kg,339,,METRO CHEF
22,120705,"Ассорти колбас Велком Милано-Чоризо-Фелино сыровяленая ассорти, 150г",https://online.metro-cc.ru/products/150g-velkom-chorizo-milano-felino-s-k,254,219,ВЕЛКОМ
23,111576,"Колбаса Черкизово Салями Фламенко Premium сырокопченая, 250г",https://online.metro-cc.ru/products/kolbasa-syrokopchenaya-cherkizovo-salyami-flamenko-250-g,389,239,ЧЕРКИЗОВО
24,223007,"Колбаса Мираторг Финская сервелат варено-копченый, 375г",https://online.metro-cc.ru/products/kolbasa-miratorg-finskaya-servelat-vareno-kopcheniy-375g,299,229,МИРАТОРГ
25,122296,"Снек Черкизово из курицы сырокопченый премиум, 70г",https://online.metro-cc.ru/products/snek-iz-kuricy-cherkizovo-premium-70g,149,99,ЧЕРКИЗОВО
26,118444,"Ветчина Черкизово Нежная Премиум из индейки, 450г",https://online.metro-cc.ru/products/450g-cherkizovo-prem-nezhn-iz-ind-co-v-u,389,,ЧЕРКИЗОВО
27,118445,"Колбаса Черкизово Сальчичон Premium с розовым перцем сырокопченая нарезка, 85г",https://online.metro-cc.ru/products/85g-cherkizovo-prem-salch-rz-per-nar-s-k,159,115.01,ЧЕРКИЗОВО
28,223006,"Колбаса Мираторг Московская варено-копченая, 375г",https://online.metro-cc.ru/products/375g-kolbasa-miratorg-moskovskaya-vk,509,389,МИРАТОРГ
29,100149,"Набор колбас Велком Торро Бордо Милан сырокопченая нарезка, 150г",https://online.metro-cc.ru/products/kolbasa-velkom-torro-milanskaya-bordo-syrokopchenaya-narezka-150-g,262,219,ВЕЛКОМ
30,135064,"Ветчина Черкизово нежная из индейки нарезка, 150г",https://online.metro-cc.ru/products/vetchina-cherkizovo-nezhnaya-iz-indeyki-narezka-150g,169,159,ЧЕРКИЗОВО
31,297382,"Колбаса Черкизово Сальчичон Премиум сырокопченая, 100г",https://online.metro-cc.ru/products/cherkizovskij-syrokopchenaya-salchichon-v-narezke-100g,165,,ЧЕРКИЗОВО
32,82422,"METRO Chef Ветчина для тостов Люкс, 500г",https://online.metro-cc.ru/products/dlya-tostov-lyuks-metro-chef-500-g,329,299,METRO CHEF
33,72107,"Колбаса Черкизово Бородинская сырокопченая, ~600г",https://online.metro-cc.ru/products/borodinskaya-syrokopchenaya-cherkizovskij-mk,999,679,ЧЕРКИЗОВО
34,625233,"Колбаса Дымов Краковская полукопченая, 400г",https://online.metro-cc.ru/products/polukopchenaya-dymov-krakovskaya-400g,389,319,ДЫМОВ
35,74715,"METRO Chef Ветчина вареная с говядиной, ~1кг",https://online.metro-cc.ru/products/metro-chef-s-govyazhyego-1-kg,419,,METRO CHEF
36,566644,"METRO Chef Колбаски Охотничьи полукопченые, 500г",https://online.metro-cc.ru/products/kolbaski-metro-chef-osobye-ohotnichyi-500-g,233,,METRO CHEF
37,84958,"Колбаса Мираторг Докторская вареная, 450г",https://online.metro-cc.ru/products/miratorg-doktorskaya-450-g,359,249,МИРАТОРГ
38,134378,"Колбаса Баварушка Филейбургская с душистым чесноком, ~900г",https://online.metro-cc.ru/products/900g-kolbasa-fileyburgskaya-bavarushka-s-chenokom,469,,БАВАРУШКА
39,111570,"Колбаса Черкизово Пепперони сырокопченая нарезка, 500г",https://online.metro-cc.ru/products/kolbasa-syrokopchenaya-pepperoni-cherkizovo-narezka-500g,469,,ЧЕРКИЗОВО
40,59660,"Колбаса Дымов Чоризо сырокопченая нарезка, 1кг",https://online.metro-cc.ru/products/art_59660,878.90,,ДЫМОВ
41,571500,"Колбаса Черкизово Сервелат варено-копченая ГОСТ, 500г",https://online.metro-cc.ru/products/servelat-cherkizovo-vareno-gost-500g,439,,ЧЕРКИЗОВО
42,499637,"Колбаса Велком Кальяри сырокопченая, 235г",https://online.metro-cc.ru/products/kalyari-velkom-syrokopchenaya-235g,469,,ВЕЛКОМ
43,74713,"METRO Chef Ветчина вареная с курицей, ~1кг",https://online.metro-cc.ru/products/metro-chef-s-kuricej-1-kg,419,,METRO CHEF
44,271618,"Колбаса Охотный Ряд Швейцарская сыровяленая, ~375г",https://online.metro-cc.ru/products/shvejcarskaya-mikoyan-s-v,1 769,1 129,ОХОТНЫЙ РЯД
45,210486,"Колбаса Велком Докторская вареная, 500г",https://online.metro-cc.ru/products/doktorskaya-velkom-500g,399,309,ВЕЛКОМ
46,219588,"Ветчина Вязанка филейская столичная вареная, 450г",https://online.metro-cc.ru/products/450g-vetchina-vyazanka-fileyskaya-stolichnaya-varenaya,329,,ВЯЗАНКА
47,374239,"Ветчина Велком из окорока, 500г",https://online.metro-cc.ru/products/iz-okoroka-velkom-500g,449,,ВЕЛКОМ
48,389991,"Колбаса Охотный Ряд Испанская сырокопченая, ~625г",https://online.metro-cc.ru/products/ispanskaya-mikoyan-s-k,1 219,809,ОХОТНЫЙ РЯД
49,66436,"Ветчина Черкизово По-черкизовски, 500г",https://online.metro-cc.ru/products/art_66436,339,329,ЧЕРКИЗОВО
50,574486,"Колбаса Мясницкий ряд Сервелат Европейский варено-копченый, ~750г",https://online.metro-cc.ru/products/myasnickij-ryad-evropejskij-servelat,749,569,МЯСНИЦКИЙ РЯД
